epoch,lr,train_loss,val_loss,dice_0,cls_acc,cls_auc,epoch_time_s,new_best,best_metric
134,0.00501,0.0407,0.1126,0.8652,0.6961,0.6932,28.98,,
135,0.00497,0.0455,0.1702,0.8976,0.5294,0.7368,29.36,,
136,0.00493,0.0567,0.1882,0.9007,0.6569,0.7126,29.54,,
137,0.00489,0.0801,0.0308,0.888,0.6961,0.7315,29.53,,
138,0.00485,0.0489,0.303,0.8868,0.5588,0.7299,28.99,,
139,0.00482,0.058,0.024,0.9025,0.7059,0.7814,29.0,,
140,0.00478,0.0525,0.5288,0.868,0.4608,0.6863,29.36,,
141,0.00474,0.0732,0.1929,0.8747,0.6569,0.7429,28.87,,
142,0.0047,0.0299,0.1214,0.897,0.5882,0.7654,29.08,,
143,0.00466,0.0481,0.1046,0.8997,0.6275,0.8046,29.79,,
144,0.00462,0.0934,0.1295,0.8708,0.6275,0.8425,29.73,yes,1.7249000072479248
145,0.00458,0.0445,0.1027,0.8936,0.6176,0.6764,29.21,,
146,0.00454,0.0624,0.1707,0.8609,0.6176,0.8071,29.37,,
147,0.0045,0.0299,0.0657,0.9206,0.6765,0.7307,30.16,,
148,0.00446,0.0697,0.0418,0.9081,0.6667,0.8385,29.01,yes,1.7259999513626099
149,0.00442,0.0476,0.0795,0.852,0.6765,0.7449,28.82,,
150,0.00438,0.0577,0.0813,0.9105,0.6765,0.7973,28.85,,
151,0.00434,0.0428,0.0333,0.8946,0.7647,0.7459,29.06,,
152,0.0043,0.0675,0.0627,0.8704,0.6765,0.7678,29.31,,
153,0.00427,0.0293,0.2966,0.8964,0.5686,0.7407,29.03,,
154,0.00423,0.0203,0.1576,0.8765,0.6176,0.7834,29.46,,
155,0.00419,0.0437,0.2799,0.8711,0.5,0.7083,29.97,,
156,0.00415,0.0465,0.1224,0.8948,0.6765,0.7241,29.31,,
157,0.00411,0.0718,0.17,0.8779,0.5882,0.7475,29.25,,
158,0.00407,0.0309,0.0957,0.8592,0.6078,0.7763,28.28,,
159,0.00403,0.0448,0.1952,0.8797,0.549,0.7294,28.99,,
160,0.00399,0.0239,0.1251,0.9073,0.5882,0.783,28.77,,
161,0.00395,0.0191,0.3043,0.8518,0.5,0.727,29.04,,
162,0.00391,0.0586,0.141,0.8763,0.6569,0.7021,28.53,,
163,0.00387,0.0466,0.0328,0.8571,0.6863,0.8342,28.9,,
164,0.00383,0.0409,0.0719,0.8706,0.6765,0.81,29.26,,
165,0.00379,0.0436,0.3966,0.9066,0.4608,0.754,28.06,,
166,0.00375,0.0385,0.1473,0.8732,0.5882,0.7239,28.93,,
167,0.00371,0.0341,0.3662,0.8626,0.5098,0.7124,28.85,,
168,0.00367,0.0325,0.852,0.8966,0.3922,0.6841,28.88,,
169,0.00363,0.0461,0.1106,0.9112,0.5882,0.7813,28.61,,
170,0.00359,0.0105,0.275,0.8664,0.5588,0.634,29.27,,
171,0.00355,0.0529,0.0957,0.8889,0.6373,0.7777,28.5,,
