epoch,lr,train_loss,val_loss,dice_0,dice_1,dice_2,dice_3,cls_acc,cls_auc,epoch_time_s,new_best,best_metric
143,0.00466,-0.3936,-0.2978,0.9662,0.8786,0.9391,0.8883,0.7188,0.8945,75.62,,
144,0.00462,-0.3932,-0.3201,0.9543,0.8851,0.9247,0.8872,0.6875,0.9375,74.73,,
145,0.00458,-0.3847,-0.3666,0.9651,0.8916,0.9413,0.88,0.7812,0.9688,75.1,,
146,0.00454,-0.3905,-0.3205,0.9724,0.8954,0.9279,0.885,0.8438,0.8828,74.35,,
147,0.0045,-0.3914,-0.3071,0.9702,0.8933,0.9422,0.8552,0.75,0.8672,73.77,,
148,0.00446,-0.3943,-0.2999,0.9604,0.8714,0.939,0.8796,0.8438,0.9297,76.73,,
149,0.00442,-0.3903,-0.3551,0.9554,0.8778,0.9364,0.8807,0.8438,0.9766,75.59,yes,1.889799952507019
150,0.00438,-0.3866,-0.3103,0.9652,0.8314,0.9381,0.8828,0.5938,0.8945,76.12,,
151,0.00434,-0.3898,-0.3106,0.9653,0.8707,0.9329,0.8731,0.7188,0.9453,74.03,,
152,0.0043,-0.394,-0.333,0.969,0.8825,0.944,0.8926,0.7812,0.8867,75.91,,
153,0.00427,-0.3931,-0.3029,0.9543,0.8643,0.9408,0.9009,0.6875,0.8828,75.17,,
154,0.00423,-0.3951,-0.313,0.9606,0.8863,0.9381,0.8542,0.7812,0.9141,76.28,,
155,0.00419,-0.3929,-0.2987,0.9581,0.8865,0.9343,0.8839,0.7188,0.9062,76.41,,
156,0.00415,-0.3917,-0.2761,0.9672,0.91,0.9407,0.8985,0.6562,0.8945,73.98,,
157,0.00411,-0.3977,-0.3238,0.971,0.8981,0.9386,0.89,0.8438,0.9414,74.28,,
158,0.00407,-0.3898,-0.32,0.9662,0.8964,0.9226,0.8878,0.9375,0.9766,74.24,yes,1.8926000595092773
159,0.00403,-0.3952,-0.3504,0.9693,0.8866,0.925,0.8775,0.875,0.9883,75.71,yes,1.9041999578475952
160,0.00399,-0.3916,-0.3333,0.9718,0.8959,0.9375,0.819,0.875,1.0,74.64,yes,1.9148999452590942
161,0.00395,-0.3855,-0.334,0.9576,0.8605,0.945,0.8852,0.8125,0.9492,75.67,,
162,0.00391,-0.3919,-0.3365,0.965,0.8696,0.9288,0.8755,0.875,0.9844,75.09,,
163,0.00387,-0.3918,-0.3392,0.9597,0.8778,0.9348,0.8869,0.8438,0.9883,74.38,,
164,0.00383,-0.3912,-0.3442,0.9662,0.8951,0.9393,0.8478,0.875,0.9844,75.58,,
165,0.00379,-0.3951,-0.3238,0.967,0.8929,0.942,0.872,0.8125,0.9023,76.12,,
166,0.00375,-0.3955,-0.2947,0.9686,0.8553,0.927,0.8713,0.7188,0.9414,74.95,,
167,0.00371,-0.3968,-0.2869,0.9618,0.8921,0.9288,0.8906,0.8125,0.9102,75.42,,
168,0.00367,-0.3974,-0.3022,0.9665,0.8834,0.9425,0.8731,0.7812,0.9023,76.24,,
169,0.00363,-0.4017,-0.3138,0.96,0.8783,0.9456,0.8615,0.8438,0.9258,75.78,,
170,0.00359,-0.3955,-0.3345,0.9672,0.8733,0.943,0.897,0.75,0.9062,75.88,,
171,0.00355,-0.3927,-0.3388,0.9598,0.8743,0.9457,0.891,0.7812,0.8906,75.93,,
172,0.00351,-0.3913,-0.3459,0.962,0.8974,0.9359,0.906,0.8125,0.8828,74.54,,
173,0.00346,-0.39,-0.3698,0.9704,0.8819,0.9449,0.8917,0.875,0.9844,77.17,,
174,0.00342,-0.3944,-0.3314,0.9633,0.8892,0.9347,0.8729,0.875,0.9609,71.82,,
175,0.00338,-0.3951,-0.3438,0.9579,0.8082,0.9366,0.8961,0.875,0.9688,74.88,,
176,0.00334,-0.3962,-0.3579,0.9688,0.8887,0.9406,0.8971,0.9062,0.957,75.4,,
177,0.0033,-0.398,-0.3377,0.9708,0.8147,0.9421,0.8986,0.875,0.957,74.46,,
178,0.00326,-0.3953,-0.3313,0.9498,0.8929,0.9365,0.8916,0.7812,0.8867,75.6,,
179,0.00322,-0.3956,-0.3295,0.9639,0.8858,0.9344,0.8662,0.8438,0.9375,75.07,,
180,0.00318,-0.3956,-0.3296,0.9554,0.8698,0.9266,0.8981,0.7812,0.9258,74.68,,
181,0.00314,-0.3997,-0.3588,0.9623,0.878,0.9415,0.8815,0.9688,0.9883,73.43,,
182,0.0031,-0.3958,-0.3485,0.9683,0.8794,0.9492,0.8863,0.8438,0.9805,74.54,,
183,0.00306,-0.3939,-0.3012,0.9658,0.845,0.9413,0.8942,0.7812,0.8633,75.05,,
184,0.00302,-0.3923,-0.3595,0.9654,0.8986,0.9385,0.8948,0.8438,0.9805,71.84,,
185,0.00297,-0.3958,-0.3399,0.958,0.9181,0.936,0.8851,0.75,0.9922,76.38,,
186,0.00293,-0.3979,-0.351,0.9663,0.8784,0.9328,0.882,0.875,0.9453,77.62,,
187,0.00289,-0.39,-0.3353,0.9636,0.8885,0.9299,0.8836,0.7812,0.9414,75.53,,
188,0.00285,-0.3952,-0.3177,0.9639,0.8908,0.9405,0.8724,0.75,0.9453,75.49,,
189,0.00281,-0.3936,-0.332,0.9662,0.8791,0.9198,0.8982,0.7188,0.9727,76.86,,
190,0.00277,-0.393,-0.3536,0.9589,0.9108,0.925,0.8803,0.9375,0.9922,75.53,,
191,0.00273,-0.3952,-0.3364,0.9604,0.9025,0.9268,0.9019,0.8125,0.957,75.68,,
192,0.00268,-0.3987,-0.2865,0.9707,0.8878,0.9141,0.8953,0.7188,0.8477,74.5,,
193,0.00264,-0.4004,-0.3259,0.9535,0.8578,0.9478,0.8698,0.7188,0.8516,75.9,,
194,0.0026,-0.3934,-0.2992,0.963,0.9051,0.9421,0.8876,0.625,0.8945,74.51,,
195,0.00256,-0.3972,-0.3084,0.963,0.8878,0.9415,0.8776,0.5938,0.9805,75.67,,
196,0.00252,-0.3929,-0.341,0.968,0.9008,0.9317,0.8975,0.75,0.9531,73.93,,
197,0.00248,-0.3949,-0.3475,0.9591,0.8436,0.9305,0.9004,0.875,1.0,77.99,yes,1.9169000387191772
198,0.00243,-0.3923,-0.2986,0.9645,0.8267,0.9443,0.8934,0.75,0.9062,75.83,,
199,0.00239,-0.3977,-0.3544,0.9671,0.8556,0.929,0.8946,0.9062,0.9609,76.77,,
200,0.00235,-0.3988,-0.3163,0.9578,0.9007,0.9408,0.8743,0.7188,0.918,76.74,,
201,0.00231,-0.394,-0.3652,0.9655,0.8791,0.9454,0.8922,0.875,0.9648,75.04,,
202,0.00226,-0.3953,-0.352,0.9613,0.8776,0.9344,0.8933,0.75,0.9844,73.03,,
203,0.00222,-0.3957,-0.3664,0.9696,0.8881,0.9364,0.8651,0.9062,0.9766,74.56,,
